Factuurnummer,Vervaldag,Bedrag excl. BTW,Bedrag incl. BTW,CAT1,CAT2,CAT3,CAT4,Totaal categorieÃ«n,pdf_naam
19-2025-17941,2025-08-21,117.03,141.61,14.94,102.09,0.0,0.0,117.03,17941_2025_591050.PDF
19-2025-20025,2025-08-27,207.33,250.87,0.0,154.87,0.0,52.46,207.33,20025_2025_591050.PDF
19-2025-21178,2025-08-29,238.41,288.48,238.41,0.0,0.0,0.0,238.41,21178_2025_591050.PDF
19-2025-23681,2025-09-05,140.01,169.41,92.57,0.0,0.0,47.44,140.01,23681_2025_591050.PDF
19-2025-24173,2025-09-06,270.64,327.47,270.64,0.0,0.0,0.0,270.64,24173_2025_591050.PDF
19-2025-24810,2025-09-11,46.94,56.8,46.94,0.0,0.0,0.0,46.94,24810_2025_591050.PDF
19-2025-25839,2025-09-13,229.7,277.94,89.9,139.8,0.0,0.0,229.7,25839_2025_591050.PDF
19-2025-26093,2025-09-17,1024.01,239.05,779.36,244.65,0.0,0.0,1024.01,26093_2025_591050.PDF
19-2025-27634,2025-09-21,43.96,53.19,43.96,0.0,0.0,0.0,43.96,27634_2025_591050.PDF
19-2025-28866,2025-09-26,289.6,350.42,289.6,0.0,0.0,0.0,289.6,28866_2025_591050.PDF
19-2025-29659,2025-09-28,371.51,449.53,158.13,0.0,0.0,213.38,371.51,29659_2025_591050.PDF
19-2025-31228,2025-10-04,106.36,128.7,106.36,0.0,0.0,0.0,106.36,31228_2025_591050.PDF
19-2025-31612,2025-10-05,124.85,151.07,0.0,0.0,0.0,124.85,124.85,31612_2025_591050.PDF
19-2025-32121,2025-10-08,8.98,10.87,8.98,0.0,0.0,0.0,8.98,32121_2025_591050.PDF
19-2025-32542,2025-10-09,243.67,294.84,113.76,0.0,0.0,129.91,243.67,32542_2025_591050.PDF
19-2025-33780,2025-10-12,31.96,38.67,0.0,0.0,0.0,31.96,31.96,33780_2025_591050.PDF
19-2025-34158,2025-10-15,88.58,107.18,28.44,0.0,0.0,60.14,88.58,34158_2025_591050.PDF
19-2025-34651,2025-10-16,59.94,72.53,0.0,59.94,0.0,0.0,59.94,34651_2025_591050.PDF
19-2025-35896,2025-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0,35896_2025_591050.PDF
19-2025-35986,2025-10-22,316.11,382.49,174.75,125.88,0.0,15.48,316.11,35986_2025_591050.PDF
19-2025-35987,2025-10-22,27.45,33.21,0.0,9.97,0.0,17.48,27.45,35987_2025_591050.PDF
19-2025-36369,2025-10-23,34.95,42.29,0.0,0.0,0.0,34.95,34.95,36369_2025_591050.PDF
19-2025-36370,2025-10-23,138.08,167.08,0.0,0.0,0.0,138.08,138.08,36370_2025_591050.PDF
